Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ts-1,Chrome 95.0.4638.69,,,2022-01-20 18:26:13,2022-01-20 18:26:38,25.359s,PASSED
,,,,,,,
Test Cases/login/TC-1,Chrome 95.0.4638.69,,,2022-01-20 18:26:13,2022-01-20 18:26:38,25.131s,PASSED
"openBrowser("""")",Chrome 95.0.4638.69,,,2022-01-20 18:26:13,2022-01-20 18:26:15,1.185s,PASSED
maximizeWindow(),Chrome 95.0.4638.69,,,2022-01-20 18:26:15,2022-01-20 18:26:15,0.129s,PASSED
"setViewPortSize(1920, 1080)",Chrome 95.0.4638.69,,,2022-01-20 18:26:15,2022-01-20 18:26:15,0.225s,PASSED
delay(5),Chrome 95.0.4638.69,,,2022-01-20 18:26:15,2022-01-20 18:26:20,5.016s,PASSED
"navigateToUrl(""https://universal.3tlstaging.com/home"")",Chrome 95.0.4638.69,,,2022-01-20 18:26:20,2022-01-20 18:26:37,17.277s,PASSED
"click(findTestObject(""Object Repository/Page_Universal All-Access Rewards  Get Rewa_700d57/a_Register  Login""))",Chrome 95.0.4638.69,,,2022-01-20 18:26:37,2022-01-20 18:26:37,0.288s,PASSED
"setText(findTestObject(""Object Repository/Page_Universal All-Access Rewards  Get Rewa_700d57/input_USERNAME OR EMAIL_mat-input-0""), ""ankit248@yopmail.com"")",Chrome 95.0.4638.69,,,2022-01-20 18:26:37,2022-01-20 18:26:38,0.269s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Universal All-Access Rewards  Get Rewa_700d57/input_PASSWORD_mat-input-1""), ""VOLZ6ofKkxQS38tw6cTJGA=="")",Chrome 95.0.4638.69,,,2022-01-20 18:26:38,2022-01-20 18:26:38,0.215s,PASSED
"click(findTestObject(""Object Repository/Page_Universal All-Access Rewards  Get Rewa_700d57/button_Login""))",Chrome 95.0.4638.69,,,2022-01-20 18:26:38,2022-01-20 18:26:38,0.181s,PASSED
closeBrowser(),Chrome 95.0.4638.69,,,2022-01-20 18:26:38,2022-01-20 18:26:38,0.093s,PASSED
